id,box_id,box_top,box_left,box_width,box_height,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
63011.jpg,1_1_630_478,1.0,1.0,630.0,478.0,274.0,113.0,101.0,189.0,79.0,239.0,165.0,327.0,469.0,317.0,567.0,305.0,344.0,179.0,336.0,217.0,438.0,251.0,436.0,265.0,509.0,272.0,526.0,232.0
63012.jpg,1_1_630_478,1.0,1.0,630.0,478.0,276.0,135.0,93.0,216.0,72.0,266.0,171.0,355.0,469.0,330.0,567.0,323.0,343.0,202.0,336.0,239.0,440.0,267.0,436.0,280.0,504.0,289.0,527.0,251.0
63014.jpg,1_1_630_478,1.0,1.0,630.0,478.0,248.0,118.0,31.0,214.0,10.0,265.0,119.0,362.0,472.0,341.0,589.0,327.0,317.0,190.0,305.0,234.0,431.0,269.0,427.0,284.0,507.0,293.0,539.0,248.0
63015.jpg,1_1_630_478,1.0,1.0,630.0,478.0,250.0,111.0,36.0,209.0,15.0,263.0,115.0,357.0,488.0,331.0,606.0,316.0,323.0,178.0,319.0,227.0,448.0,257.0,446.0,275.0,527.0,280.0,558.0,237.0
63016.jpg,1_1_630_478,1.0,1.0,630.0,478.0,248.0,103.0,33.0,207.0,14.0,256.0,117.0,352.0,467.0,332.0,585.0,321.0,316.0,173.0,310.0,225.0,426.0,253.0,421.0,271.0,502.0,284.0,533.0,237.0
63017.jpg,1_1_630_478,1.0,1.0,630.0,478.0,248.0,105.0,40.0,194.0,16.0,248.0,109.0,340.0,468.0,329.0,576.0,327.0,321.0,173.0,310.0,219.0,431.0,255.0,425.0,274.0,512.0,282.0,537.0,240.0
63019.jpg,1_1_630_478,1.0,1.0,630.0,478.0,284.0,144.0,104.0,220.0,77.0,275.0,169.0,361.0,473.0,342.0,572.0,330.0,349.0,209.0,344.0,247.0,443.0,275.0,437.0,291.0,507.0,298.0,529.0,265.0
63020.jpg,1_1_630_478,1.0,1.0,630.0,478.0,299.0,140.0,114.0,217.0,90.0,264.0,180.0,355.0,478.0,346.0,573.0,341.0,360.0,207.0,349.0,249.0,447.0,280.0,441.0,293.0,510.0,306.0,530.0,273.0
63021.jpg,1_1_630_478,1.0,1.0,630.0,478.0,281.0,137.0,94.0,213.0,70.0,259.0,157.0,352.0,465.0,343.0,565.0,340.0,347.0,203.0,336.0,241.0,438.0,276.0,433.0,291.0,506.0,303.0,528.0,265.0
63022.jpg,1_1_630_478,1.0,1.0,630.0,478.0,281.0,135.0,102.0,216.0,81.0,271.0,169.0,359.0,474.0,330.0,570.0,320.0,353.0,202.0,345.0,240.0,436.0,265.0,432.0,283.0,502.0,289.0,526.0,250.0
63023.jpg,1_1_630_478,1.0,1.0,630.0,478.0,287.0,128.0,103.0,203.0,77.0,258.0,163.0,348.0,480.0,334.0,584.0,332.0,349.0,192.0,342.0,235.0,439.0,267.0,434.0,284.0,509.0,295.0,538.0,253.0
63024.jpg,1_1_630_478,1.0,1.0,630.0,478.0,273.0,123.0,84.0,205.0,64.0,256.0,153.0,345.0,465.0,330.0,569.0,322.0,340.0,189.0,332.0,229.0,430.0,260.0,426.0,274.0,495.0,284.0,524.0,244.0
63025.jpg,1_1_630_478,1.0,1.0,630.0,478.0,253.0,108.0,39.0,204.0,19.0,260.0,122.0,358.0,482.0,332.0,597.0,326.0,321.0,175.0,318.0,224.0,436.0,260.0,430.0,279.0,514.0,287.0,545.0,237.0
63026.jpg,1_1_630_478,1.0,1.0,630.0,478.0,251.0,106.0,36.0,197.0,13.0,253.0,112.0,352.0,472.0,336.0,585.0,329.0,315.0,173.0,308.0,223.0,425.0,258.0,420.0,277.0,500.0,284.0,533.0,239.0
63027.jpg,1_1_630_478,1.0,1.0,630.0,478.0,262.0,95.0,36.0,187.0,15.0,245.0,115.0,344.0,484.0,332.0,600.0,322.0,325.0,164.0,318.0,219.0,442.0,254.0,436.0,272.0,519.0,281.0,551.0,236.0
63029.jpg,1_1_630_478,1.0,1.0,630.0,478.0,251.0,87.0,46.0,175.0,19.0,226.0,113.0,315.0,465.0,314.0,575.0,305.0,321.0,162.0,312.0,202.0,424.0,240.0,421.0,255.0,499.0,267.0,531.0,221.0
63030.jpg,1_1_630_478,1.0,1.0,630.0,478.0,254.0,113.0,38.0,201.0,16.0,250.0,114.0,345.0,461.0,348.0,571.0,341.0,323.0,186.0,316.0,230.0,420.0,270.0,418.0,284.0,498.0,300.0,529.0,260.0
63031.jpg,1_1_630_478,1.0,1.0,630.0,478.0,294.0,123.0,114.0,201.0,92.0,246.0,182.0,329.0,476.0,314.0,577.0,298.0,348.0,180.0,344.0,218.0,444.0,246.0,440.0,260.0,506.0,266.0,530.0,229.0
63032.jpg,1_1_630_478,1.0,1.0,630.0,478.0,284.0,119.0,99.0,197.0,80.0,246.0,164.0,339.0,469.0,328.0,566.0,317.0,352.0,190.0,342.0,226.0,438.0,259.0,435.0,273.0,503.0,286.0,529.0,248.0
63033.jpg,1_1_630_478,1.0,1.0,630.0,478.0,315.0,110.0,130.0,183.0,104.0,233.0,192.0,319.0,496.0,305.0,594.0,298.0,369.0,172.0,366.0,207.0,464.0,240.0,461.0,256.0,523.0,265.0,553.0,227.0
63034.jpg,1_1_630_478,1.0,1.0,630.0,478.0,286.0,108.0,100.0,189.0,78.0,230.0,181.0,319.0,476.0,296.0,569.0,287.0,347.0,170.0,342.0,207.0,436.0,234.0,435.0,250.0,498.0,256.0,527.0,222.0
63035.jpg,1_1_630_478,1.0,1.0,630.0,478.0,288.0,125.0,103.0,212.0,81.0,255.0,191.0,342.0,472.0,312.0,566.0,299.0,352.0,184.0,347.0,222.0,442.0,246.0,440.0,261.0,498.0,269.0,526.0,227.0
63036.jpg,1_1_630_478,1.0,1.0,630.0,478.0,314.0,146.0,141.0,228.0,128.0,271.0,233.0,347.0,489.0,325.0,581.0,312.0,374.0,202.0,367.0,237.0,454.0,264.0,453.0,278.0,520.0,284.0,542.0,247.0
63037.jpg,1_1_630_478,1.0,1.0,630.0,478.0,243.0,138.0,31.0,256.0,17.0,311.0,123.0,393.0,480.0,339.0,589.0,317.0,316.0,200.0,316.0,247.0,427.0,269.0,422.0,286.0,516.0,287.0,538.0,244.0
63038.jpg,1_1_630_478,1.0,1.0,630.0,478.0,270.0,91.0,37.0,197.0,19.0,246.0,128.0,339.0,490.0,312.0,594.0,305.0,335.0,162.0,328.0,210.0,442.0,240.0,440.0,259.0,521.0,268.0,552.0,222.0
63039.jpg,1_1_630_478,1.0,1.0,630.0,478.0,263.0,117.0,36.0,219.0,20.0,273.0,127.0,360.0,486.0,336.0,596.0,329.0,332.0,183.0,329.0,230.0,443.0,264.0,440.0,280.0,525.0,290.0,556.0,251.0
63042.jpg,1_1_630_478,1.0,1.0,630.0,478.0,259.0,97.0,33.0,193.0,12.0,243.0,119.0,335.0,477.0,323.0,588.0,320.0,322.0,161.0,311.0,210.0,431.0,247.0,426.0,264.0,512.0,277.0,544.0,230.0
63043.jpg,1_1_630_478,1.0,1.0,630.0,478.0,290.0,113.0,101.0,191.0,78.0,246.0,162.0,337.0,476.0,320.0,574.0,310.0,349.0,180.0,343.0,223.0,438.0,252.0,433.0,267.0,504.0,277.0,532.0,236.0
63045.jpg,1_1_630_478,1.0,1.0,630.0,478.0,257.0,96.0,42.0,187.0,19.0,241.0,120.0,339.0,472.0,321.0,581.0,319.0,317.0,160.0,311.0,216.0,421.0,246.0,418.0,263.0,504.0,274.0,532.0,233.0
63046.jpg,1_1_630_478,1.0,1.0,630.0,478.0,254.0,114.0,44.0,206.0,21.0,257.0,109.0,351.0,480.0,350.0,595.0,347.0,321.0,188.0,316.0,236.0,443.0,273.0,436.0,291.0,521.0,304.0,548.0,260.0
63048.jpg,1_1_630_478,1.0,1.0,630.0,478.0,244.0,105.0,32.0,201.0,15.0,255.0,110.0,346.0,466.0,327.0,573.0,317.0,312.0,172.0,310.0,220.0,422.0,252.0,418.0,269.0,503.0,280.0,524.0,234.0
63049.jpg,1_1_630_478,1.0,1.0,630.0,478.0,282.0,104.0,94.0,184.0,71.0,232.0,156.0,322.0,471.0,317.0,571.0,311.0,343.0,174.0,338.0,211.0,442.0,247.0,438.0,262.0,509.0,274.0,530.0,234.0
63050.jpg,1_1_630_478,1.0,1.0,630.0,478.0,279.0,122.0,94.0,200.0,74.0,244.0,168.0,337.0,470.0,323.0,565.0,313.0,342.0,183.0,331.0,222.0,442.0,254.0,439.0,268.0,511.0,279.0,524.0,238.0
63051.jpg,1_1_630_478,1.0,1.0,630.0,478.0,283.0,137.0,108.0,214.0,88.0,257.0,173.0,350.0,470.0,335.0,566.0,328.0,347.0,199.0,339.0,236.0,434.0,269.0,432.0,284.0,505.0,292.0,525.0,255.0
63052.jpg,1_1_630_478,1.0,1.0,630.0,478.0,264.0,136.0,94.0,214.0,73.0,261.0,154.0,350.0,463.0,326.0,559.0,315.0,333.0,198.0,332.0,237.0,426.0,263.0,424.0,277.0,498.0,283.0,514.0,245.0
63054.jpg,1_1_630_478,1.0,1.0,630.0,478.0,279.0,131.0,93.0,201.0,71.0,247.0,155.0,342.0,465.0,332.0,562.0,327.0,345.0,196.0,338.0,236.0,431.0,263.0,428.0,280.0,498.0,293.0,523.0,254.0
63056.jpg,1_1_630_478,1.0,1.0,630.0,478.0,247.0,107.0,36.0,199.0,12.0,248.0,106.0,344.0,471.0,329.0,572.0,324.0,315.0,174.0,311.0,224.0,424.0,256.0,420.0,274.0,504.0,282.0,531.0,239.0
63057.jpg,1_1_630_478,1.0,1.0,630.0,478.0,263.0,111.0,46.0,202.0,19.0,251.0,113.0,355.0,474.0,343.0,579.0,337.0,321.0,181.0,310.0,233.0,427.0,268.0,424.0,285.0,520.0,297.0,536.0,251.0
63058.jpg,1_1_630_478,1.0,1.0,630.0,478.0,248.0,86.0,44.0,174.0,17.0,222.0,106.0,316.0,479.0,308.0,596.0,304.0,323.0,154.0,319.0,198.0,432.0,234.0,427.0,250.0,519.0,264.0,548.0,219.0
63061.jpg,1_1_630_478,1.0,1.0,630.0,478.0,298.0,129.0,121.0,213.0,101.0,264.0,188.0,342.0,480.0,319.0,574.0,308.0,355.0,189.0,350.0,226.0,451.0,254.0,447.0,267.0,512.0,275.0,534.0,238.0
63062.jpg,1_1_630_478,1.0,1.0,630.0,478.0,270.0,121.0,93.0,202.0,71.0,248.0,151.0,341.0,465.0,325.0,563.0,316.0,336.0,188.0,332.0,228.0,432.0,259.0,430.0,273.0,499.0,284.0,522.0,245.0
63063.jpg,1_1_630_478,1.0,1.0,630.0,478.0,276.0,118.0,88.0,202.0,68.0,247.0,162.0,339.0,474.0,323.0,571.0,311.0,340.0,183.0,334.0,222.0,440.0,251.0,435.0,267.0,505.0,276.0,530.0,240.0
63064.jpg,1_1_630_478,1.0,1.0,630.0,478.0,310.0,114.0,115.0,198.0,92.0,251.0,190.0,340.0,493.0,322.0,592.0,316.0,364.0,181.0,355.0,222.0,462.0,254.0,459.0,270.0,526.0,279.0,552.0,242.0
63065.jpg,1_1_630_478,1.0,1.0,630.0,478.0,282.0,108.0,89.0,189.0,70.0,246.0,171.0,334.0,465.0,302.0,568.0,293.0,337.0,168.0,333.0,208.0,433.0,236.0,431.0,251.0,502.0,260.0,527.0,220.0
63067.jpg,1_1_630_478,1.0,1.0,630.0,478.0,274.0,116.0,47.0,219.0,27.0,275.0,137.0,368.0,491.0,339.0,607.0,334.0,332.0,180.0,325.0,234.0,455.0,266.0,450.0,285.0,535.0,293.0,563.0,250.0
63069.jpg,1_1_630_478,1.0,1.0,630.0,478.0,258.0,89.0,35.0,180.0,11.0,235.0,119.0,334.0,469.0,320.0,582.0,314.0,321.0,154.0,312.0,207.0,435.0,242.0,432.0,259.0,518.0,273.0,542.0,231.0
63070.jpg,1_1_630_478,1.0,1.0,630.0,478.0,252.0,98.0,42.0,188.0,21.0,237.0,113.0,337.0,466.0,327.0,580.0,326.0,311.0,165.0,310.0,218.0,424.0,251.0,420.0,270.0,512.0,282.0,535.0,241.0
63071.jpg,1_1_630_478,1.0,1.0,630.0,478.0,257.0,90.0,39.0,187.0,15.0,243.0,115.0,339.0,477.0,324.0,583.0,319.0,322.0,159.0,322.0,210.0,439.0,245.0,436.0,262.0,514.0,276.0,542.0,231.0
